"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Scaling_Factor_Batch_A","Scaling_Factor_Batch_B"
"G1",270.756925988183,-0.0865908558318891,0.267868846247376,-0.323258404420508,0.746499552747151,0.84637137499677,0.970435728419124,1.03046494550344
"G2",426.721053962514,0.714861563381709,0.243711851985671,2.93322445156971,0.00335461279583253,0.0175634177792279,1.2811423470685,0.780553388378892
"G3",410.444160247101,0.234957297373414,0.28727275705022,0.81788924152087,0.413420434035855,0.586936712185638,1.08483726993051,0.921797238828326
"G4",464.14078857709,-0.747329321185843,0.277854809641871,-2.68963967961929,0.00715292053472774,0.0304379597222457,0.771819468062159,1.29563977248558
"G5",577.730795986407,0.803144345017057,0.205090822354912,3.9160423455088,9.00144443049844e-05,0.00115403133724339,1.32094662425756,0.757032859342103
"G6",198.051674126001,-0.925501860946133,0.301044798096733,-3.07429946239678,0.00210997520909146,0.0127106940306715,0.725601362258909,1.3781672031139
"G7",213.807480258424,-0.305302341274552,0.308571715736513,-0.989404814844558,0.32246511974771,0.498400494200479,0.89959579920218,1.11161034865532
"G8",174.262324373642,1.05234998701535,0.284039349724156,3.7049443608336,0.00021143713930339,0.00232432981029822,1.44010598738631,0.694393335462016
"G9",316.709047445705,0.497637500611378,0.273687689061072,1.81826775737923,0.0690232182792066,0.162790609149072,1.18823381463955,0.841585206278068
"G10",596.770122099852,-0.0227670703364789,0.308501452919559,-0.0737989079825025,0.941170395961366,0.96612273425637,0.992140582699968,1.00792167706581
"G11",627.826662858569,-0.337805531053551,0.29880208860899,-1.13053269682998,0.258251828983508,0.428278323355734,0.889518943138327,1.12420315240492
"G12",116.451833044714,-0.0730947912886874,0.289763945814279,-0.252256336043742,0.80084293574066,0.878792361516384,0.974985456751655,1.02565632448681
"G13",157.362787417679,-0.920425875830637,0.313980095372023,-2.93147842617239,0.00337352796902409,0.0175704581720005,0.726878965358168,1.37574485940345
"G14",428.566209443398,-1.05345124548653,0.265342098577314,-3.97016248508934,7.18236338956162e-05,0.000957648451941549,0.694128358939523,1.44065573336866
"G15",270.422129514383,-0.478562296209091,0.287325961380328,-1.66557276589298,0.0957985392546764,0.208521102708057,0.847167325418197,1.1804043546018
"G16",321.543171394227,0.569342560008461,0.227681500722489,2.50060965955423,0.0123979743403782,0.0449171169234224,1.21813267889129,0.820928637190957
"G17",120.700129828668,-0.448988280692508,0.269668274145144,-1.66496515808474,0.0959197072457063,0.208521102708057,0.855895080011081,1.1683675059647
"G18",610.905704542005,0.662925347107003,0.257509054546695,2.57437684385111,0.0100420830465077,0.0383285612462125,1.2582884413328,0.794730339365418
"G19",396.705452991347,0.445513281691279,0.290978262902826,1.53108784569265,0.125747683308461,0.254549966211459,1.16696123786204,0.856926492119031
"G20",317.844830651459,0.152495985064962,0.263693319426876,0.578308109573667,0.563056120275044,0.718772352452484,1.05427263225224,0.948521254757136
"G21",586.388048317986,0.0121027102491047,0.24980945043187,0.0484477678013444,0.961359390774408,0.97898104966844,1.00420328888559,0.995814304800519
"G22",353.26597459629,0.732322098776614,0.296301699334701,2.47154201417315,0.0134531742067545,0.0469519143792572,1.28891850562516,0.775844241226853
"G23",1000.77504810375,-0.0191093401234061,0.269284681639228,-0.0709633388987482,0.943426933221762,0.966625956169838,0.993399089742471,1.00664477179986
"G24",109.048721765325,0.00362690822891244,0.306169653401505,0.01184607353674,0.990548421875223,0.99153996183706,1.00125778095032,0.998743799075274
"G25",426.833427355192,0.960575076838063,0.275263525928979,3.48965622523451,0.000483642273797077,0.00416932994652652,1.39502167545505,0.716834739986245
"G26",801.417368753269,-0.489241286683744,0.277406315826857,-1.76362706532285,0.0777947878462631,0.180080527421905,0.844037706666338,1.18478119176649
"G27",236.41999491313,-0.42659891722973,0.243491475822892,-1.7520076043238,0.0797725003535728,0.181714123812239,0.862562284859707,1.15933656914138
"G28",592.742557746975,-0.0322421678602435,0.29081195546371,-0.110869471679155,0.911719854391806,0.94478741387752,0.988887916539043,1.01123694938032
"G29",362.030546928295,0.128318027247416,0.321244021055088,0.399440982048382,0.689568302034209,0.809352467176301,1.04547532598329,0.95650272669944
"G30",115.904288878714,0.27597401338531,0.31677098952303,0.871209872472385,0.383639570392599,0.559631250702693,1.10036869909912,0.908786301190419
"G31",467.149298729879,1.25864826653057,0.235083847383927,5.3540397629915,8.60119458960262e-08,3.90963390436483e-06,1.54684016763856,0.646479203812389
"G32",463.997947620509,-0.178679928520593,0.302233925747039,-0.591197457661134,0.554388125995895,0.713498231654949,0.939952681007996,1.06388334243338
"G33",496.871704855228,-0.398347910115024,0.299791146131913,-1.32875141662704,0.183929995495844,0.336252276957667,0.871049157788156,1.14804083220663
"G34",649.738121968837,0.628454184231938,0.26132600283871,2.40486663173667,0.0161783688433925,0.0544726223683251,1.24334536633192,0.804281760385023
"G35",106.408944790687,0.176814367617869,0.277137048075665,0.638003359152453,0.523471493431132,0.685172111820853,1.06319570657477,0.940560607812871
"G36",75.3311369123178,-0.310038649926474,0.306094768811144,-1.01288451001841,0.311115328010682,0.487641579954047,0.898120342442052,1.1134365326599
"G37",559.892405946834,0.524596520345916,0.237831444064704,2.20574921204782,0.0274015641241282,0.0817957138033678,1.19938784744379,0.833758656243904
"G38",585.554722188694,-0.668580321496034,0.323787416816411,-2.06487431806259,0.0389348936550556,0.106444645695175,0.793174300676904,1.26075693469467
"G39",104.091197275783,-0.70642234317864,0.246543651580128,-2.86530331911244,0.00416609980436871,0.0206242564572708,0.782839701280804,1.27740072247728
"G40",553.075498521162,-0.376029146804726,0.29403933007761,-1.27883962565646,0.200953536729794,0.354415408694521,0.877812930326217,1.13919488475566
"G41",418.175305786335,-0.272901947146208,0.282816824141564,-0.964942407420597,0.33457365911925,0.508623412238665,0.909754398536355,1.09919776327417
"G42",222.764592636899,0.112391412068834,0.274086902690783,0.410057580152346,0.681763709355246,0.803776896536907,1.03972046689925,0.961796975087244
"G43",319.313992916094,-0.483117169443265,0.281647682915872,-1.71532449492074,0.0862857500426144,0.19174611120581,0.845831043124566,1.18226921100687
"G44",427.625645718389,-1.01158154974398,0.27495388061999,-3.67909537215106,0.000234062731699177,0.00245416649282,0.704274242582526,1.41990142410017
"G45",141.109772916421,-0.0118178225607186,0.340607208359435,-0.0346963372197559,0.972321881645701,0.983136381846007,0.995912630930795,1.00410414422135
"G46",629.299639144742,-1.10218541409631,0.231969685254177,-4.75142005253235,2.01993022833633e-06,5.17930827778545e-05,0.68250300014381,1.46519502447504
"G47",78.1667103774242,-0.423072865264735,0.329444530019285,-1.28420060651779,0.199071773044789,0.352339421318211,0.863617011771988,1.15792068285938
"G48",224.310463646428,-0.934551352362372,0.208738170864624,-4.47714641021968,7.5647372855845e-06,0.00014273089218084,0.723329212968245,1.38249635445583
"G49",307.34096433135,-0.75457033789809,0.268246569900523,-2.81297292329932,0.00490857842327044,0.0233741829679545,0.769884980609341,1.29889532227078
"G50",197.274351432596,0.59022410379433,0.272612712266129,2.16506449346406,0.0303827466309049,0.0877812190814831,1.22698027121703,0.815009029450907
"G51",312.717512272689,0.0282380619055871,0.282249582209726,0.100046425877806,0.920307467790585,0.951714030807223,1.00983461154318,0.990261166105064
"G52",1032.86132139677,-0.0458402816750418,0.296411874780824,-0.154650624941857,0.877096757138865,0.918691276964254,0.984238502214884,1.01601390084786
"G53",315.626537996355,0.104016020872741,0.276230980237009,0.376554508055158,0.706504700546737,0.819676045227045,1.0367068572267,0.964592828753065
"G54",465.744946750108,0.581022985935295,0.287679673899292,2.01968730727459,0.0434158325067304,0.114553647775014,1.22307382931526,0.817612131035335
"G55",285.044619781185,1.4593068940592,0.292848773042929,4.98314156790161,6.25601445646549e-07,2.04753889170445e-05,1.65824071410937,0.60304875612531
"G56",732.297293984419,1.10561537422639,0.330249572401493,3.34781773125889,0.000814505612880845,0.0063633251006316,1.46693778666125,0.681692167924856
"G57",352.109028543352,-0.498086214196302,0.240415088361246,-2.07177601701887,0.0382863342912884,0.105763354395824,0.841454339621345,1.18841861395593
"G58",1004.11028917743,-0.807160327978189,0.291272997254446,-2.77114712172609,0.00558591817748283,0.0257415584215799,0.755979928469205,1.32278644226033
"G59",529.396696072684,-1.29876783976431,0.285969627614174,-4.54162860091069,5.58213179462031e-06,0.000116294412387923,0.637552512261356,1.56849825036853
"G60",316.771743034181,-1.39808893592333,0.274349120524398,-5.09602120557553,3.46866290628602e-07,1.28716234480068e-05,0.615980050174353,1.62342919988553
"G61",478.19872387908,0.883325398201206,0.302713701426229,2.91802252107994,0.00352258907051332,0.0182517568420379,1.3581687087126,0.736285553911704
"G62",518.567182828636,0.176507659545219,0.253515592773867,0.696239854968849,0.486278632170171,0.656246467166222,1.06308269815436,0.940660591820487
"G63",1314.75147015618,0.259245866230847,0.30217377652056,0.857936347806171,0.390927612130828,0.566561756711345,1.09400773091515,0.914070323034636
"G64",320.000419225426,0.26678943728038,0.295309759289274,0.903422351914361,0.366301781503655,0.543474453269518,1.09687164955101,0.911683696455589
"G65",664.742652323034,1.06896066382808,0.258862308483227,4.12945658288966,3.63621658680597e-05,0.000559417936431688,1.44842033020606,0.690407321097001
"G66",139.05999880281,-0.853802038484031,0.262400301270798,-3.25381500840163,0.00113866403267151,0.00800343117698477,0.743857914243932,1.34434275800697
"G67",208.972314179059,0.219796694967273,0.261186317165192,0.841532195686416,0.400049856303317,0.573959621669035,1.0791521965944,0.926653351729078
"G68",432.901215114333,-0.350518701525678,0.297300858982957,-1.17900332587257,0.238396851488297,0.403945746920175,0.885608300537161,1.12916737500479
"G69",923.935869793421,0.867085805153744,0.235363638631465,3.68402617411706,0.000229578651341295,0.00245416649282,1.35054611539573,0.740441210115201
"G70",461.370416539258,0.109344893792748,0.254875042325605,0.429013734711062,0.667913229424622,0.795033534880713,1.03862326489273,0.96281301777241
"G71",213.80628106461,-0.145432550520224,0.300819475840445,-0.483454570598886,0.628773008961129,0.769612006072374,0.95084607908919,1.0516949293811
"G72",234.248780032653,-0.389561581625259,0.258601028093902,-1.50641930736564,0.13195956737621,0.262867664096036,0.87370564036249,1.14455023958082
"G73",148.915934018576,0.1779421586277,0.262586105268852,0.677652606353683,0.497991982797605,0.664875811478779,1.06361135121569,0.940193049704689
"G74",249.673119311564,-0.324906305045923,0.298311008021664,-1.0891529186289,0.276086456979169,0.449652210063793,0.893504467277329,1.11918858452626
"G75",108.528184372243,0.111348823018514,0.2722491814805,0.408995988208288,0.682542605259306,0.803776896536907,1.03934484858634,0.962144567666975
"G76",533.487179347376,0.718034614241253,0.320283685905614,2.2418707097459,0.0249697295729892,0.0769274236320036,1.28255198865338,0.779695489030393
"G77",125.033537828367,-0.118044647847903,0.263096114805963,-0.448674994440576,0.653666125641902,0.784246299938311,0.959914407434079,1.04175954882589
"G78",430.300847172637,-0.132978596514953,0.278755369496037,-0.477044071851838,0.633330738996358,0.772354559751656,0.954959001657429,1.04716537386882
"G79",433.300864631309,0.692852622595526,0.263300917347107,2.63140983167235,0.00850314275071263,0.0337541583787009,1.27140733018585,0.786529994170965
"G80",672.416017880146,0.199016612486344,0.282890878972467,0.70351017752578,0.481737866428761,0.652722594172096,1.0714082470797,0.933351038435316
"G81",337.196379858877,-0.395694144497672,0.269210453647322,-1.46983201854431,0.141607255046998,0.275500496200386,0.871850652063235,1.14698543567468
"G82",63.7597272320851,0.775011237421525,0.358046665627425,2.16455370716393,0.0304218794223116,0.0877812190814831,1.30812972605797,0.764450176523001
"G83",150.723296518762,-0.204840235622281,0.242680864895951,-0.844072464098503,0.398628913730148,0.573959621669035,0.931469142754465,1.07357286903019
"G84",382.367686130426,0.521028276707997,0.297385305304383,1.75203100965163,0.0797684759106254,0.181714123812239,1.19790553040673,0.834790369204214
"G85",344.733049409131,0.473400708601858,0.31913627692678,1.48338105952922,0.137973196760313,0.270535679922183,1.17829465227882,0.848684153887998
"G86",234.035593624466,0.719929438774586,0.26412405632812,2.72572460374537,0.00641605069334197,0.0283539994380028,1.28339451220626,0.779183634096202
"G87",143.002431676857,-0.591472897582868,0.294763962453512,-2.00659840728037,0.0447924410525663,0.116951543218189,0.814656370721985,1.22751142191861
"G88",271.30013163377,0.589359229698842,0.27512189402876,2.14217495041392,0.0321794064450146,0.0909022780932617,1.22661254817191,0.815253358927691
